user	app	cate	location	time_bin
10	1	4	2576	3709
10	77	4	2576	3710
10	1	4	2853	3921
10	170	0	2073	6814
10	379	0	2073	6815
10	1230	0	2073	6816
10	1595	4	1600	6919
10	1	4	3023	7028
10	242	0	2073	7071
105	1195	0	1602	3045
105	643	0	1602	3042
105	18	4	1602	3043
105	1388	15	1602	3055
105	123	17	1602	3054
105	163	0	1602	3056
105	163	0	1602	3057
105	163	0	1602	3058
105	700	0	1602	3059
105	163	0	1602	3060
105	163	0	1602	3061
105	163	0	1602	3063
105	167	0	1602	3062
105	163	0	1602	3064
105	520	0	1602	3065
105	163	0	1602	3066
105	163	0	1602	3067
105	163	0	1602	3068
105	848	0	1602	3069
105	1091	0	1611	3071
105	163	0	1611	3072
105	1936	0	1611	3075
105	1987	17	1611	3073
105	163	0	1611	3074
105	238	0	1611	3076
105	163	0	1611	3077
105	163	0	1611	3078
105	163	0	1611	3079
105	419	0	1611	3080
105	163	0	1611	3081
105	163	0	1611	3082
105	242	0	1611	3083
105	163	0	1611	3084
105	163	0	1611	3085
105	1029	0	1611	3086
105	148	0	1611	3087
105	968	0	1611	3088
105	163	0	1611	3089
105	163	0	1611	3090
105	163	0	1611	3091
105	163	0	1611	3092
105	163	0	1611	3093
105	163	0	1611	3094
105	163	0	1611	3095
105	163	0	1611	3096
105	317	0	1611	3097
105	163	0	1611	3098
105	163	0	1611	3099
105	1820	0	1611	3100
105	1549	0	1611	3102
105	269	0	1611	3103
105	1590	0	1611	3104
105	123	17	1611	3105
105	1093	0	1611	3106
105	1474	0	1611	3107
105	163	0	1611	3108
105	163	0	1611	3109
105	357	0	1611	3110
105	158	0	1611	3111
105	2	4	1611	3112
105	163	0	1611	3113
105	1681	17	1611	3114
105	503	0	1611	3115
105	163	0	1611	3116
105	69	0	1611	3117
105	18	4	7668	3132
105	55	4	2375	3136
105	42	0	2375	3138
105	42	0	7668	3145
105	18	4	7668	3157
105	55	4	7668	3166
105	18	4	7668	3171
105	263	0	6670	3192
105	568	4	6670	3193
105	419	0	6670	3195
105	1076	0	6670	3196
105	132	0	6670	3198
105	1230	0	6670	3208
105	18	4	6670	3217
105	55	4	6670	3224
105	18	4	6670	3254
105	1967	4	6670	3454
105	689	4	6670	3456
105	55	4	6670	3776
105	18	4	6670	3777
105	18	4	6670	3778
105	448	4	6670	3779
105	18	4	6670	3780
105	55	4	6670	3783
105	55	4	6670	3815
105	932	4	6670	3817
105	55	4	6670	3820
105	1723	4	6670	3821
105	55	4	6670	3823
105	1232	4	6670	3824
105	55	4	6670	3825
105	55	4	6670	3822
105	18	4	6670	3831
105	18	4	6670	3828
105	932	4	6670	3840
105	55	4	6670	3841
105	55	4	6670	3849
105	18	4	6670	3848
105	55	4	6670	3850
105	223	4	6670	3855
105	223	4	2438	3860
105	636	4	2438	3861
105	18	4	6670	3864
105	18	4	6670	3865
105	243	4	6670	3866
105	18	4	6670	3867
105	18	4	6670	3868
105	18	4	6670	3869
105	430	4	6670	3871
105	2	4	6670	4273
105	370	4	6670	4274
105	18	4	6670	4275
105	18	4	6670	4278
105	398	4	6670	4281
105	18	4	6670	4284
105	18	4	6670	4285
105	132	0	6670	4336
105	55	4	6670	4375
105	18	4	6670	4433
105	18	4	6670	4440
105	18	4	6670	4441
105	18	4	6670	4442
105	223	4	6670	4443
105	55	4	6670	4449
105	18	4	6670	4472
105	18	4	6670	4497
105	18	4	6670	4499
105	55	4	6670	4506
105	18	4	6670	4517
105	55	4	6670	4519
105	55	4	6670	4524
105	855	4	6670	4526
105	55	4	6669	4537
105	55	4	6669	4540
105	55	4	6669	4544
105	855	4	6669	4593
105	448	4	6669	4590
105	55	4	6669	4594
105	18	4	6669	4595
105	1462	4	6669	4597
105	55	4	6669	4598
105	18	4	6669	4740
105	55	4	6669	4741
105	18	4	6669	4742
105	375	4	6669	4743
105	1462	4	6669	4744
105	18	4	6669	4745
105	18	4	6669	4748
105	689	4	6669	4749
105	917	4	6669	4750
105	364	4	6669	4754
105	1469	4	6669	4755
105	1844	4	6669	4752
105	42	0	4390	5070
105	224	0	4390	5073
105	1462	4	4390	5077
105	1484	4	4390	5078
105	510	0	2650	5456
105	371	4	2650	5461
105	55	4	2650	5462
105	55	4	2650	5465
105	18	4	2650	5467
105	18	4	2650	5468
105	55	4	2650	5469
105	18	4	2650	5466
105	512	4	2650	5472
105	18	4	2650	5473
105	1	4	2650	5475
105	263	0	2650	5478
105	73	0	2650	5479
105	1478	4	2650	5480
105	1967	4	2650	5494
105	461	4	2650	5498
105	1	4	3512	7842
11	325	0	532	248
11	1	4	9598	309
11	1	4	9598	359
11	1	4	9598	360
11	1	4	9598	361
11	1491	4	9598	362
11	1	4	9598	363
11	1	4	9598	364
11	1	4	9598	365
11	935	4	9598	366
11	905	4	9598	367
11	1730	4	9598	368
11	1	4	9508	369
11	12	3	9508	372
11	60	0	9508	374
11	591	5	9508	376
11	379	0	9508	379
11	128	0	9508	385
11	1162	0	9508	501
11	325	0	9508	517
11	798	5	9508	518
11	128	0	9508	551
11	70	5	9508	582
11	1157	9	9508	602
11	116	9	9508	603
11	61	0	9508	604
11	555	9	9508	605
11	138	9	9508	606
11	138	9	9508	607
11	435	0	9508	608
11	271	9	9508	609
11	1353	0	9508	610
11	1318	9	9508	611
11	76	9	9508	613
11	271	9	9508	614
11	138	9	9508	615
11	1391	9	9508	612
11	138	9	9508	616
11	1548	9	9508	617
11	70	5	9508	618
11	138	9	9508	619
11	70	5	9508	643
11	1358	0	9508	801
11	242	0	1335	1476
11	242	0	1335	1727
11	1	4	9508	1857
11	325	0	9508	1977
11	242	0	3043	2082
11	191	0	9508	2127
11	1619	0	9508	2198
11	242	0	3043	2208
11	46	0	9508	2899
11	60	0	1627	3017
11	60	0	1627	3032
11	46	0	6546	3141
11	2	4	6546	3139
11	148	0	6546	3140
11	1383	4	6546	3142
11	2	4	6546	3143
11	461	4	6546	3144
11	1967	4	6546	3145
11	2	4	6546	3146
11	855	4	6546	3147
11	2	4	6546	3148
11	359	4	6546	3149
11	763	4	6546	3150
11	2	4	6546	3151
11	2	4	6546	3152
11	2	4	6546	3153
11	2	4	6546	3154
11	2	4	6546	3155
11	2	4	6546	3156
11	2	4	6546	3157
11	1	4	6546	3158
11	2	4	6546	3159
11	2	4	6546	3160
11	2	4	6546	3165
11	568	4	6546	3164
11	5	4	6546	3166
11	653	4	6546	3167
11	2	4	6546	3168
11	2	4	6546	3169
11	937	4	6546	3175
11	636	4	6546	3177
11	2	4	6546	3174
11	2	4	6546	3178
11	2	4	6546	3181
11	2	4	6968	3212
11	2	4	6968	3216
11	2	4	6968	3222
11	512	4	6968	3227
11	2	4	6968	3229
11	1484	4	9508	3326
11	500	4	2466	3344
11	2	4	449	3392
11	1983	4	449	3406
11	242	0	9802	3421
11	65	0	9508	3581
11	60	0	1802	3672
11	2	4	1777	3837
11	2	4	1777	3838
11	2	4	1777	3839
11	2	4	6969	3846
11	2	4	6969	3855
11	243	4	3043	4290
11	1	4	9508	4326
11	1	4	9508	4504
11	368	4	9508	4508
11	325	0	9508	4571
11	2	4	3043	4821
11	23	4	3043	4822
11	2	4	3043	4831
11	77	4	3043	4830
11	1	4	9508	4943
11	1	4	9508	4944
11	79	9	9508	4946
11	555	9	9508	4947
11	1847	17	9508	4960
11	1109	0	9508	4966
11	79	9	9508	4969
11	1573	17	9508	4977
11	291	17	9508	4990
11	1987	17	9508	4993
11	1109	0	9508	4995
11	1571	17	9508	5007
11	1109	0	9508	5023
11	1573	17	9508	5037
11	1109	0	9508	5049
11	2	4	9508	5046
11	2	4	9508	5047
11	2	4	9508	5051
11	1	4	9508	5122
11	77	4	1627	5361
11	2	4	1627	5363
11	948	5	3332	5376
11	1	4	3332	5377
11	1	4	3332	5378
11	2	4	9112	5380
11	937	4	3093	5381
11	788	5	3333	5382
11	287	15	3333	5384
11	77	4	3043	5392
11	1638	5	3333	5434
11	1842	0	3333	5469
11	150	0	3333	5470
11	859	5	3333	5517
11	414	5	3333	5533
11	948	5	3333	5563
11	128	0	3333	5565
11	232	5	3333	5581
11	509	5	3333	5589
11	1	4	3333	5601
11	232	5	3333	5615
11	232	5	3333	5616
11	1	4	3333	5617
11	414	5	3333	5620
11	232	5	3333	5622
11	232	5	3332	5623
11	356	5	3332	5627
11	232	5	3332	5628
11	518	5	3332	5633
11	232	5	3332	5634
11	786	5	3332	5639
11	798	5	3332	5640
11	1344	5	3332	5645
11	232	5	3332	5649
11	232	5	3332	5650
11	802	5	3332	5652
11	257	5	3332	5653
11	827	5	3332	5654
11	232	5	3332	5655
11	70	5	3332	5663
11	798	5	3332	5664
11	787	5	3332	5668
11	232	5	3332	5672
11	969	5	3813	5694
11	70	5	3813	5715
11	232	5	3813	5727
11	1173	0	3813	5736
11	688	0	3813	5737
11	232	5	3813	5738
11	232	5	3749	5762
11	1733	9	3749	5763
11	255	5	3749	5775
11	70	5	3749	5786
11	70	5	3749	5802
11	70	5	3749	5803
11	1520	5	3749	5808
11	1	4	3749	5830
11	1	4	3749	5831
11	935	4	3749	5832
11	1	4	3749	5833
11	256	4	3749	5834
11	398	4	3749	5835
11	375	4	3749	5838
11	1208	5	3749	5839
11	1	4	3749	5840
11	255	5	3749	5841
11	1	4	3749	5844
11	255	5	3749	5845
11	665	18	3749	5849
11	1889	18	3749	5850
11	1179	18	3749	5851
11	1017	18	3749	5852
11	1	4	3749	5861
11	572	4	3749	5865
11	1166	18	3749	5871
11	1098	18	3749	5868
11	738	0	3749	5869
11	12	3	3749	5870
11	879	3	3749	5872
11	12	3	3749	5873
11	1723	4	3749	5874
11	371	4	3749	5875
11	1	4	3749	5876
11	1	4	3749	5877
11	1	4	3749	5892
11	1	4	3749	5895
11	1	4	3749	5937
11	1	4	3749	5938
11	1	4	3749	5939
11	1	4	3749	5943
11	70	5	3749	5942
11	1	4	3749	5945
11	70	5	3749	5986
11	46	0	3849	6564
11	1206	0	3849	6578
11	80	0	3849	6579
11	1	4	3849	6580
11	1	4	3849	6581
11	1	4	3849	6582
11	425	3	3849	6584
11	1515	3	3849	6585
11	12	3	3849	6583
11	12	3	3849	6586
11	19	3	3849	6587
11	19	3	3849	6588
11	19	3	3849	6589
11	12	3	3849	6590
11	1445	3	3849	6591
11	220	3	3849	6592
11	104	3	9500	6596
11	12	3	3849	6595
11	1429	3	3849	6599
11	19	3	3849	6600
11	19	3	3849	6601
11	53	3	3849	6602
11	742	3	3849	6603
11	53	3	3849	6604
11	53	3	3849	6605
11	976	3	3849	6608
11	19	3	3849	6609
11	431	3	3849	6606
11	614	3	3849	6610
11	12	3	3849	6611
11	53	3	3849	6612
11	12	3	3849	6613
11	19	3	3849	6614
11	1754	3	3849	6615
11	12	3	3848	6620
11	12	3	3848	6622
11	967	3	3848	6623
11	1109	0	3848	6625
11	12	3	9500	6629
11	12	3	3849	6636
11	12	3	3849	6642
11	1109	0	3849	6644
11	63	17	3849	6645
11	12	3	3849	6649
11	1109	0	3849	6650
11	1975	0	3849	6651
11	1649	17	3849	6653
11	12	3	3849	6656
11	1606	0	3849	6661
11	318	3	3849	6662
11	1109	0	3849	6666
11	454	0	3849	6669
11	1109	0	3849	6670
11	1109	0	3849	6682
11	1109	0	3849	6685
11	1109	0	3849	6690
11	1109	0	3849	6692
11	1573	17	3849	6696
11	1109	0	3849	6697
11	1573	17	3849	6713
11	1573	17	3849	6726
11	890	0	3849	6732
11	477	0	3849	6733
11	442	0	3849	6736
11	63	17	3849	6743
11	201	0	3849	6745
11	1109	0	3849	6746
11	1405	0	3043	6747
11	234	0	3043	6744
11	1801	17	3849	6756
